name,price,id,description,priority
Divergent – Veronica Roth (2011),2043,4000,harpercollins,4
Pride and Prejudice – Jane Austen (1813),2878,4001,simon and schuster,4
1984 – George Orwell (1949),957,4002,macmillan publishers,4
The Kite Runner – Khaled Hosseini (2003),978,4003,random house,4
The Fellowship of the Ring – J.R.R. Tolkien (1954),2189,4004,Elsevier,4
The Lovely Bones – Alice Sebold (2002),2430,4005,springer,4
Gone Girl – Gillian Flynn (2012),1309,4006,talor and fransic,4
The Help – Kathyrn Stockett (2009),2258,4007,john wiley and sons,4
Of Mice and Men – John Steinbeck (1937),642,4008,harpewr and Row,4
The Alchemist – Paulo Coehlo (1988),781,4009,harpercollins,4
Fifty Shades of Grey – E.L. James (2011),775,4010,simon and schuster,4
The Girl on the Train – Paula Hawkins (2015),1951,4011,macmillan publishers,4
The Book Thief – Markus Zuzak (2005),723,4012,random house,4
Little Women – Louise May Alcott (1862),2942,4013,Elsevier,4
Eat Pray Love – Elizabeth Gilbert (2006),2824,4014,springer,4
Water for Elephants – Sara Gruen (2006),664,4015,talor and fransic,4
The Notebook – Nicholas Sparks (1996),2944,4016,john wiley and sons,4
Life of Pi – Yann Martel (2001),1659,4017,harpewr and Row,4
The Hitchhiker’s Guide to the Galaxy – Douglas Adams (1979),1619,4018,harpercollins,4
Wuthering Heights – Emily Bronte (1847),2634,4019,simon and schuster,4
Where the Sidewalk Ends – Shel Silverstein (1947),2833,4020,macmillan publishers,4
The Perks of Being a Wallflower – Stephen Chbosky (1999),1905,4021,random house,4
Insurgent – Veronica Roth (2012),1936,4022,Elsevier,4
The Curious Incident of the Dog in the Night-Time by Mark Haddon (2003),2963,4023,springer,4
Gone with the Wind – Margaret Mitchell (1936),1711,4024,talor and fransic,4
Frankenstein – Mary Shelley (1818),1775,4025,john wiley and sons,4
My Sister’s Keeper – Jodi Picoult (2004),2305,4026,harpewr and Row,4
A Thousand Splendid Suns – Khaled Hosseini (2007),1607,4027,harpercollins,4
The Shining – Stephen King (1977),2834,4028,simon and schuster,4
The Maze Runner – James Dashner (2009),610,4029,macmillan publishers,4
Holes – Louis Sachar (1998),2925,4030,random house,4
Sense and Sensibility – Jane Austen (1811),1433,4031,Elsevier,4
The Host – Stephanie Meyer (2008),2158,4032,springer,4
Me Before You – Jojo Moyes (2012),1027,4033,talor and fransic,4
Bridget Jones’s Diary – Helen Fielding (1996),2278,4034,john wiley and sons,4
Miss Peregrine’s Home for Peculiar Children – Ransom Riggs (2011),557,4035,harpewr and Row,4
The Picture of Dorian Gray – Oscar Wilde (1890),1017,4036,harpercollins,4
The Secret Garden – Frances Hodgson Burnett (1911),1822,4037,simon and schuster,4
Into the Wild – Jon Krakauer (1996),2402,4038,macmillan publishers,4
The Glass Castle – Jeannette Walls (2005),771,4039,random house,4
The Devil Wears Prada – Lauren Weisberger (2003),766,4040,Elsevier,4
A Tale of Two Cities – Charles Dickens (1859),1732,4041,springer,4
Paper Towns – John Green (2008),2850,4042,talor and fransic,4
Allegiant – Veronica Roth (2013),598,4043,john wiley and sons,4
Steve Jobs – Walter Isaacson (2011),2965,4044,harpewr and Row,4
Bossypants – Tina Fey (2011),1465,4045,harpercollins,4
City of Glass – Cassandra Clare (2009),2064,4046,simon and schuster,4
All the Light We Cannot See – Anthony Doerr (2014),998,4047,macmillan publishers,4
The Princess Bride – William Goldman (1973),2119,4048,random house,4
Eleanor & Park – Rainbow Rowell (2013),1984,4049,Elsevier,4
A Clash of Kings – George R.R. Martin (1998),2194,4050,springer,4
Fifty Shades Darker – E.L. James (2011),2396,4051,talor and fransic,4
Outlander – Diana Gabaldon (1991),2747,4052,john wiley and sons,4
The Count of Monte Cristo – Alexandre Dumas (1844),2149,4053,harpewr and Row,4
The Adventures of Tom Sawyer – Mark Twain (1876),1933,4054,harpercollins,4
Tuesday with Morrie – Mitch Albom (1997),1549,4055,simon and schuster,4
The Selection – Kiera Cass (2012),2442,4056,macmillan publishers,4
A Time to Kill – John Grisham (1989),2946,4057,random house,4
Thirteen Reasons Why – Jay Asher (2007),2472,4058,Elsevier,4
