name,price,id,description,priority
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1449,5000,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4732,5001,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1407,5002,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1331,5003,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3348,5004,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4055,5005,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1601,5006,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4462,5007,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2288,5008,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1067,5009,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2913,5010,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4343,5011,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1830,5012,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3266,5013,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2876,5014,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3651,5015,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4936,5016,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4415,5017,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2855,5018,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1337,5019,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2819,5020,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2166,5021,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4621,5022,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2332,5023,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4941,5024,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4931,5025,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2559,5026,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4826,5027,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3926,5028,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1682,5029,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1214,5030,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1938,5031,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2366,5032,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,664,5033,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2465,5034,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2188,5035,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1006,5036,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1832,5037,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1137,5038,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1020,5039,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4671,5040,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,729,5041,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2338,5042,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4817,5043,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3381,5044,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2818,5045,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2961,5046,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3714,5047,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1474,5048,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3913,5049,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4714,5050,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3504,5051,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1851,5052,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2573,5053,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3143,5054,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1969,5055,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3881,5056,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1271,5057,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1343,5058,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1513,5059,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1232,5060,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,791,5061,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2404,5062,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2336,5063,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4636,5064,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4368,5065,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3041,5066,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4746,5067,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,691,5068,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4604,5069,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3186,5070,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3219,5071,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2254,5072,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4785,5073,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1414,5074,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,630,5075,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1854,5076,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4912,5077,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3424,5078,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4156,5079,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2196,5080,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4881,5081,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1955,5082,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3491,5083,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1376,5084,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2629,5085,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4876,5086,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2756,5087,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1019,5088,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2424,5089,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3623,5090,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2797,5091,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,658,5092,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1490,5093,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2064,5094,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,556,5095,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4145,5096,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,998,5097,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4253,5098,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3414,5099,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2149,5100,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,564,5101,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3197,5102,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4068,5103,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2876,5104,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1070,5105,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3806,5106,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3774,5107,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3415,5108,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2490,5109,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4245,5110,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2715,5111,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3322,5112,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2692,5113,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2446,5114,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2126,5115,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2854,5116,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1693,5117,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1229,5118,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,553,5119,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3141,5120,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,572,5121,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3619,5122,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1505,5123,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2939,5124,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,830,5125,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4448,5126,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1619,5127,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4051,5128,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4672,5129,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3218,5130,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,684,5131,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1245,5132,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,881,5133,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4254,5134,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1927,5135,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3219,5136,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2353,5137,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3050,5138,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3275,5139,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2638,5140,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1466,5141,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2592,5142,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1997,5143,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2392,5144,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3014,5145,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3347,5146,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2052,5147,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3005,5148,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4714,5149,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2623,5150,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3519,5151,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4045,5152,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3999,5153,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,645,5154,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4847,5155,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4699,5156,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4845,5157,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2525,5158,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2125,5159,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,840,5160,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3991,5161,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,3271,5162,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,2045,5163,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,814,5164,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,1685,5165,Electronics,5
Microsoft Surface Pro 4 Type Cover with Fingerprint ID,4288,5166,Electronics,5
