name,price,id,description,priority
Zavamet 50/500mg Tablet 10's,474,2200,Electronics,2
Ze Q Strip Of 10 Capsules,476,2201,Electronics,2
Zecal Fem Tablet,506,2202,Electronics,2
Zedfit Trusil Lemon Flav Granules 150gm,1274,2203,Electronics,2
Zefretol 400mg Tablet,1620,2204,Electronics,2
Zelgor 250mg Tablet,681,2205,Electronics,2
Zenoxa 300mg Tablet,271,2206,Electronics,2
Zenoxa 600mg Tablet,213,2207,Electronics,2
Zenoxa Od 300mg Tablet,1244,2208,Electronics,2
Zenoxa Od 450mg Tablet,1752,2209,Electronics,2
Zenoxa Od 600mg Tablet,909,2210,Electronics,2
Zenoxa Od 900mg Tablet,258,2211,Electronics,2
Zenoxa 450mg Tablet,1134,2212,Electronics,2
Zenoxidil F Pro 10% Topical Solu 60ml,942,2213,Electronics,2
Zenoxa 300mg Banana Flav Oral Susp 100ml,559,2214,Electronics,2
Zepdon 400mg Tab 60's,497,2215,Electronics,2
Zeptol Cr 200mg Tablet,236,2216,Electronics,2
Zeptol Cr 300mg Tablet,439,2217,Electronics,2
Zeptol Cr 400mg Tablet,1231,2218,Electronics,2
Zerodol Th 4mg Tablet,674,2219,Electronics,2
Zerodol P Tablet,1804,2220,Electronics,2
Zerodol Sp Tablet,1625,2221,Electronics,2
Zerostiff Total Capsule 10's,1303,2222,Electronics,2
Zifi 200mg Tablet,332,2223,Electronics,2
Ziglim M 1mg Strip Of 15 Tablets,231,2224,Electronics,2
Ziglim M 2mg Tab 15's,1740,2225,Electronics,2
Zilarbi 40 Strip Of 10 Tablets,918,2226,Electronics,2
Zilarta 40mg Strip Of 10 Tablets,869,2227,Electronics,2
Zilarbi 80mg Strip Of 10 Tablets,615,2228,Electronics,2
Zilargyn Orange Flav Sf Sachet 10gm,1643,2229,Electronics,2
Zilenta M Strip Of 10 Tablets,383,2230,Electronics,2
Zilsar 40mg Strip Of 10 Tablets,1405,2231,Electronics,2
Zilsar 80 Strip Of 10 Tablets,1800,2232,Electronics,2
Zimig 250mg Tablet,1579,2233,Electronics,2
Zincovit Bottle Of 15ml Drops,1872,2234,Electronics,2
Zincovit Strip Of 15 Tablets (green),755,2235,Electronics,2
Zincovit Bottle Of 200ml Syrup (green),1888,2236,Electronics,2
Zinconia 50mg Tablet,1291,2237,Electronics,2
Ziram 5mg Strip Of 10 Tablets,699,2238,Electronics,2
Zita Plus 20mg Strip Of 15 Tablets,1038,2239,Electronics,2
Zita Met Plus 20/500 Tab 15's,1042,2240,Electronics,2
Zita Met Plus 20/1000 Tab 15's,495,2241,Electronics,2
Zitcare Strip Of 30 Capsules,1119,2242,Electronics,2
Ziten M 20/500mg Tab 15's,1442,2243,Electronics,2
Ziten 20mg Strip Of 15 Tablets,200,2244,Electronics,2
Ziten M 20/1000mg Tab 15's,740,2245,Electronics,2
Zivast 10mg Strip Of 10 Tablets,1887,2246,Electronics,2
Zivast 20mg Strip Of 10 Tablets,1211,2247,Electronics,2
Zivast F Strip Of 10 Tablets,1408,2248,Electronics,2
Zoamates 7gm,247,2249,Electronics,2
Zocef 500mg Tablet,1059,2250,Electronics,2
Zocef Cv 500mg Tablet,1436,2251,Electronics,2
Zocon 1% Dusting Powder 100gm,122,2252,Electronics,2
Zoderm E Tube Of 50gm Cream,1238,2253,Electronics,2
Zoladex 3.6mg Inj,518,2254,Electronics,2
Zoladex La 10.8mg Injection,389,2255,Electronics,2
Zolahart 40 Strip Of 10 Tablets,237,2256,Electronics,2
Zole F Oint,755,2257,Electronics,2
Zolmist 5mg Nasal Spray 0.7ml,1209,2258,Electronics,2
Zomelis 50mg Strip Of 15 Tablets,612,2259,Electronics,2
Zomelis Met 50/1000mg Strip Of 15 Tablets,530,2260,Electronics,2
Zomelis Met 50/500mg Strip Of 15 Tablets,1806,2261,Electronics,2
Zonisep 100mg Capsule,307,2262,Electronics,2
Zonegran 100mg Strip Of 10 Tablets,1685,2263,Electronics,2
Zoryl 2mg Strip Of 15 Tablets,1599,2264,Electronics,2
