name,price,id,description,priority
Milk,2327,200,Milk human,1
Milk,2459,201,Milk NFS,1
Milk,658,203,Milk whole,1
Milk,2289,204,Milk low sodium whole,1
Milk,991,205,Milk calcium fortified whole,1
Milk,1291,207,Milk calcium fortified low fat (1%),1
Milk,2619,208,Milk calcium fortified fat free (skim),1
Milk,2240,209,Milk reduced fat (2%),1
Milk,1517,210,Milk acidophilus low fat (1%),1
Milk,2560,212,Milk acidophilus reduced fat (2%),1
Milk,1131,213,Milk low fat (1%),1
Milk,2267,214,Milk fat free (skim),1
Milk,1579,216,Milk lactose free low fat (1%),1
Milk,1782,217,Milk lactose free fat free (skim),1
Milk,776,218,Milk lactose free reduced fat (2%),1
Milk,1698,220,Milk lactose free whole,1
Buttermilk,2562,221,Buttermilk fat free (skim),1
Buttermilk,1828,222,Buttermilk low fat (1%),1
Buttermilk,2233,223,Buttermilk reduced fat (2%),1
Buttermilk,2732,225,Buttermilk whole,1
Kefir,2056,226,Kefir NS as to fat content,1
Goat's milk,2623,227,Goat's milk whole,1
Milk,2416,229,Milk dry reconstituted NS as to fat content,1
Milk,944,230,Milk dry reconstituted whole,1
Milk,674,231,Milk dry reconstituted low fat (1%),1
Milk,1836,233,Milk dry reconstituted fat free (skim),1
Milk,1514,234,Milk evaporated NS as to fat content,1
Milk,2166,235,Milk evaporated whole,1
Milk,2033,236,Milk evaporated reduced fat (2%),1
Milk,1223,238,Milk evaporated fat free (skim),1
Milk,1550,239,Milk condensed sweetened,1
Non-dairy milk,2921,240,Non-dairy milk NFS,1
Soy milk,1943,242,Soy milk,1
Soy milk,1966,243,Soy milk light,1
Soy milk,2810,244,Soy milk nonfat,1
Soy milk,690,246,Soy milk chocolate,1
Soy milk,2219,247,Soy milk light chocolate,1
Soy milk,944,248,Soy milk nonfat chocolate,1
Almond milk,2013,249,Almond milk sweetened,1
Almond milk,1198,251,Almond milk sweetened chocolate,1
Almond milk,2552,252,Almond milk unsweetened,1
Almond milk,1709,253,Almond milk unsweetened chocolate,1
Rice milk,2128,255,Rice milk,1
Coconut milk,759,256,Coconut milk,1
Yogurt,909,257,Yogurt NFS,1
Yogurt,1622,259,Yogurt Greek NS as to type of milk or flavor,1
Yogurt,2840,260,Yogurt NS as to type of milk or flavor,1
Yogurt,2967,261,Yogurt NS as to type of milk plain,1
Yogurt,1678,262,Yogurt whole milk plain,1
Yogurt,2000,264,Yogurt low fat milk plain,1
Yogurt,680,265,Yogurt nonfat milk plain,1
Yogurt,1307,266,Yogurt Greek NS as to type of milk plain,1
Yogurt,2933,268,Yogurt Greek whole milk plain,1
Yogurt,1802,269,Yogurt Greek low fat milk plain,1
Yogurt,1377,270,Yogurt Greek nonfat milk plain,1
Yogurt,2493,272,Yogurt NS as to type of milk fruit,1
Yogurt,2677,273,Yogurt whole milk fruit,1
Yogurt,2173,274,Yogurt low fat milk fruit,1
Yogurt,1570,275,Yogurt nonfat milk fruit,1
Yogurt,566,277,Yogurt Greek NS as to type of milk fruit,1
Yogurt,2595,278,Yogurt Greek whole milk fruit,1
Yogurt,1336,279,Yogurt Greek low fat milk fruit,1
Yogurt,2554,281,Yogurt Greek nonfat milk fruit,1
Yogurt,768,282,Yogurt NS as to type of milk flavors other than fruit,1
Yogurt,787,283,Yogurt whole milk flavors other than fruit,1
Yogurt,2477,285,Yogurt low fat milk flavors other than fruit,1
Yogurt,2996,286,Yogurt nonfat milk flavors other than fruit,1
Yogurt,2522,287,Yogurt Greek NS as to type of milk flavors other than fruit,1
Yogurt,1079,288,Yogurt Greek whole milk flavors other than fruit,1
Yogurt,2582,290,Yogurt Greek low fat milk flavors other than fruit,1
Yogurt,2161,291,Yogurt Greek nonfat milk flavors other than fruit,1
Yogurt,2376,292,Yogurt Greek with oats,1
Yogurt,1674,294,Yogurt liquid,1
Chipotle dip,709,295,Chipotle dip yogurt based,1
Dill dip,2253,296,Dill dip yogurt based,1
Onion dip,1815,298,Onion dip yogurt based,1
Ranch dip,686,299,Ranch dip yogurt based,1
Spinach dip,2766,300,Spinach dip yogurt based,1
Tzatziki dip,2669,301,Tzatziki dip,1
Vegetable dip,739,303,Vegetable dip yogurt based,1
Yogurt parfait,1851,304,Yogurt parfait low fat with fruit,1
Frozen yogurt,1669,305,Frozen yogurt NFS,1
Frozen yogurt,2533,307,Frozen yogurt vanilla,1
Frozen yogurt,1755,308,Frozen yogurt chocolate,1
Frozen yogurt,2976,309,Frozen yogurt soft serve vanilla,1
Frozen yogurt,836,311,Frozen yogurt soft serve chocolate,1
Frozen yogurt sandwich,746,312,Frozen yogurt sandwich,1
Frozen yogurt bar,2844,313,Frozen yogurt bar vanilla,1
Frozen yogurt bar,2744,314,Frozen yogurt bar chocolate,1
Frozen yogurt cone,2204,316,Frozen yogurt cone chocolate,1
Frozen yogurt cone,2962,317,Frozen yogurt cone vanilla,1
Frozen yogurt cone,588,318,Frozen yogurt cone vanilla waffle cone,1
Frozen yogurt cone,2742,320,Frozen yogurt cone chocolate waffle cone,1
Yogurt,2945,321,Yogurt whole milk baby food,1
Yogurt,604,322,Yogurt whole milk baby food with fruit and multigrain cereal puree NFS,1
Yogurt,2355,324,Yogurt whole milk baby food with fruit and multigrain cereal puree plus iron,1
Yogurt,1948,325,Yogurt whole milk baby food with fruit and multigrain cereal puree plus DHA,1
Chocolate milk,2711,326,Chocolate milk NFS,1
Chocolate milk,2728,327,Chocolate milk ready to drink whole,1
Chocolate milk,1693,329,Chocolate milk ready to drink reduced fat,1
Chocolate milk,2710,330,Chocolate milk ready to drink fat free,1
Chocolate milk,734,331,Chocolate milk ready to drink low fat,1
Chocolate milk,1114,333,Chocolate milk ready to drink reduced sugar NS as to milk,1
Chocolate milk,1690,334,Chocolate milk ready to drink low fat (Nesquik),1
Chocolate milk,2715,335,Chocolate milk ready to drink fat free (Nesquik),1
Chocolate milk,2959,337,Chocolate milk ready to drink low fat no sugar added (Nesquik),1
Hot chocolate / Cocoa,809,338,Hot chocolate / Cocoa ready to drink,1
Hot chocolate / Cocoa,1262,339,Hot chocolate / Cocoa ready to drink made with nonfat milk,1
Hot chocolate / Cocoa,1638,340,Hot chocolate / Cocoa ready to drink made with non-dairy milk,1
Hot chocolate / Cocoa,694,342,Hot chocolate / Cocoa ready to drink with whipped cream,1
Hot chocolate / Cocoa,953,343,Hot chocolate / Cocoa ready to drink made with nonfat milk and whipped cream,1
Hot chocolate / Cocoa,2980,344,Hot chocolate / Cocoa ready to drink made with non-dairy milk and whipped cream,1
Chocolate milk,1656,346,Chocolate milk made from dry mix NS as to type of milk,1
Chocolate milk,1908,347,Chocolate milk made from dry mix with whole milk,1
Chocolate milk,1493,348,Chocolate milk made from dry mix with reduced fat milk,1
Chocolate milk,1896,350,Chocolate milk made from dry mix with low fat milk,1
Chocolate milk,1896,351,Chocolate milk made from dry mix with fat free milk,1
Chocolate milk,1284,352,Chocolate milk made from dry mix with non-dairy milk,1
Chocolate milk,1485,353,Chocolate milk made from reduced sugar mix NS as to type of milk,1
Chocolate milk,2906,355,Chocolate milk made from reduced sugar mix with whole milk,1
Chocolate milk,802,356,Chocolate milk made from reduced sugar mix with reduced fat milk,1
Chocolate milk,1131,357,Chocolate milk made from reduced sugar mix with low fat milk,1
Chocolate milk,2604,359,Chocolate milk made from reduced sugar mix with fat free milk,1
Chocolate milk,2538,360,Chocolate milk made from reduced sugar mix with non-dairy milk,1
Chocolate milk,957,361,Chocolate milk made from dry mix NS as to type of milk (Nesquik),1
Chocolate milk,1821,363,Chocolate milk made from dry mix with whole milk (Nesquik),1
Chocolate milk,2099,364,Chocolate milk made from dry mix with reduced fat milk (Nesquik),1
Chocolate milk,2298,365,Chocolate milk made from dry mix with low fat milk (Nesquik),1
Chocolate milk,930,366,Chocolate milk made from dry mix with fat free milk (Nesquik),1
Chocolate milk,1755,368,Chocolate milk made from dry mix with non-dairy milk (Nesquik),1
Chocolate milk,2976,369,Chocolate milk made from no sugar added dry mix NS as to type of milk (Nesquik),1
Chocolate milk,1881,370,Chocolate milk made from no sugar added dry mix with whole milk (Nesquik),1
Chocolate milk,1371,372,Chocolate milk made from no sugar added dry mix with reduced fat milk (Nesquik),1
Chocolate milk,1560,373,Chocolate milk made from no sugar added dry mix with low fat milk (Nesquik),1
Chocolate milk,1650,374,Chocolate milk made from no sugar added dry mix with fat free milk  (Nesquik),1
Chocolate milk,569,376,Chocolate milk made from no sugar added dry mix with non-dairy milk (Nesquik),1
Chocolate milk,984,377,Chocolate milk made from syrup NS as to type of milk,1
Chocolate milk,1267,378,Chocolate milk made from syrup with whole milk,1
Chocolate milk,2967,379,Chocolate milk made from syrup with reduced fat milk,1
Chocolate milk,2513,381,Chocolate milk made from syrup with low fat milk,1
Chocolate milk,533,382,Chocolate milk made from syrup with fat free milk,1
Chocolate milk,2143,383,Chocolate milk made from syrup with non-dairy milk,1
Chocolate milk,1099,385,Chocolate milk made from light syrup NS as to type of milk,1
Chocolate milk,2380,386,Chocolate milk made from light syrup with whole milk,1
Chocolate milk,559,387,Chocolate milk made from light syrup with reduced fat milk,1
Chocolate milk,753,389,Chocolate milk made from light syrup with low fat milk,1
Chocolate milk,623,390,Chocolate milk made from light syrup with fat free milk,1
Chocolate milk,2352,391,Chocolate milk made from light syrup with non-dairy milk,1
