name,price,id,description,priority
DKNY Unisex Black & Grey Printed Medium Trolley Bag,2879,2800,Unisex,3
EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,3942,2801,Women,3
SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,5453,2802,Women,3
Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,4868,2803,Men,3
Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,2072,2804,Men,3
SHOWOFF Men Brown Solid Slim Fit Regular Shorts,3229,2805,Men,3
Parx Men Blue Slim Fit Checked Casual Shirt,2911,2806,Men,3
SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,1198,2807,Women,3
Parx Men Brown Tapered Fit Solid Regular Trousers,4279,2808,Men,3
DKNY Unisex Black Large Trolley Bag,3487,2809,Unisex,3
Kenneth Cole Women Navy Blue Solid Backpack,2102,2810,Women,3
Parx Men Green Printed Polo Collar T-shirt,1090,2811,Men,3
Police Men To Be The King Eau De Toilette 125 ml,6279,2812,Men,3
Vishudh Women Maroon Printed Kurta with Palazzos,4009,2813,Women,3
Parx Men Red Slim Fit Checked Casual Shirt,1355,2814,Men,3
Being Human Clothing Navy Printed Casual Slim Shirt,6075,2815,Men,3
Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,4935,2816,Unisex,3
SEJ by Nisha Gupta Set of 6 Mustard & Blue Printed Table Placemats,5869,2817,Unisex,3
YAK YAK Men Camel Brown Solid Polo Collar T-shirt,2242,2818,Men,3
PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,5773,2819,Women,3
Michael Kors Women Sexy Amber Eau de Parfum 100ml,5094,2820,Women,3
HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,5868,2821,Men,3
SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats,4572,2822,Unisex,3
SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,5008,2823,Women,3
JEWEL JUNCTION Gold-Toned Square Cufflinks,5762,2824,Men,3
ID Men Tan Brown Fisherman Leather Sandals,1589,2825,Men,3
Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,6114,2826,Unisex,3
Raymond Men Blue Slim Fit Printed Formal Shirt,5818,2827,Men,3
Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt,1885,2828,Boys,3
SEJ by Nisha Gupta Set of 6 Printed Table Placemats,6240,2829,Unisex,3
Sera Women Blue Printed Kurta with Palazzos,1725,2830,Women,3
AccessHer Women Gold-Toned & Pink Gold-Plated AD-Studded Maang Tikka,6681,2831,Women,3
Parx Men Blue Slim Fit Printed Casual Shirt,2872,2832,Men,3
Alcis Women Yellow & Blue Colorblocked Tights,1600,2833,Women,3
ID Men Brown Leather Formal Slip-Ons,4997,2834,Men,3
Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail,6626,2835,Men,3
Parx Men Blue Slim Fit Checked Casual Shirt,5891,2836,Men,3
Michael Kors Extreme Blue For Men Edt 70 ml,2245,2837,Men,3
Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress,6840,2838,Women,3
ANNA SUI Women La Vie De Boheme EDT 75ml,5678,2839,Women,3
HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt,4130,2840,Men,3
her by invictus Women Brown Solid Cushioned Mules,2456,2841,Women,3
ID Men Beige Leather Derbys,4684,2842,Men,3
SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans,3014,2843,Women,3
SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans,1889,2844,Women,3
Soie Nude-Coloured Solid Non-Wired Non Padded Maternity Bra CB-331NUDE,2189,2845,Women,3
Lara Karen Women Black Solid Maxi Satin Skirt,4447,2846,Women,3
Gini and Jony Girls Yellow Fit and Flare Embellished Dress,3305,2847,Girls,3
Story@home Off-White & Blue Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,5224,2848,Unisex,3
PARFAIT Plus Size Blue Solid Underwired Lightly Padded Plunge Bra 2801,6495,2849,Women,3
Urban Dog Men Grey Solid Regular Fit Sports Shorts,5048,2850,Men,3
ahilya Sterling Silver Textured Bangle,2063,2851,Women,3
PARFAIT Plus Size Blue Solid Underwired Lightly Padded T-shirt Bra P5441,5985,2852,Women,3
VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket,5270,2853,Boys,3
Difference of Opinion Men Grey Melange Printed Round Neck T-shirt,6423,2854,Men,3
Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt,2793,2855,Men,3
FIDO DIDO Men White Printed Round Neck T-shirt,5467,2856,Men,3
