name,price,id,description,priority
Swordfish,2870,2144,Swordfish cooked NS as to cooking method,1
Zedfit Trusil Lemon Flav Granules 150gm,1274,2203,TORRENT PHARMACEUTICALS LTD,2
Zefretol 400mg Tablet,1620,2204,TORRENT PHARMACEUTICALS LTD,2
Zelgor 250mg Tablet,681,2205,TORRENT PHARMACEUTICALS LTD,2
Zenoxa 300mg Tablet,271,2206,TORRENT PHARMACEUTICALS LTD,2
Zenoxa 600mg Tablet,213,2207,TORRENT PHARMACEUTICALS LTD,2
Zenoxa Od 300mg Tablet,1244,2208,TORRENT PHARMACEUTICALS LTD,2
Zenoxa Od 450mg Tablet,1752,2209,TORRENT PHARMACEUTICALS LTD,2
Zenoxa Od 600mg Tablet,909,2210,TORRENT PHARMACEUTICALS LTD,2
Zenoxa Od 900mg Tablet,258,2211,TORRENT PHARMACEUTICALS LTD,2
Zenoxa 450mg Tablet,1134,2212,TORRENT PHARMACEUTICALS LTD,2
Zenoxidil F Pro 10% Topical Solu 60ml,942,2213,TORRENT PHARMACEUTICALS LTD,2
Zenoxa 300mg Banana Flav Oral Susp 100ml,559,2214,TORRENT PHARMACEUTICALS LTD,2
Zepdon 400mg Tab 60's,497,2215,TORRENT PHARMACEUTICALS LTD,2
Zeptol Cr 200mg Tablet,236,2216,TORRENT PHARMACEUTICALS LTD,2
Zeptol Cr 300mg Tablet,439,2217,TORRENT PHARMACEUTICALS LTD,2
Zeptol Cr 400mg Tablet,1231,2218,TORRENT PHARMACEUTICALS LTD,2
Zerodol Th 4mg Tablet,674,2219,TORRENT PHARMACEUTICALS LTD,2
Zerodol P Tablet,1804,2220,TORRENT PHARMACEUTICALS LTD,2
Zerodol Sp Tablet,1625,2221,TORRENT PHARMACEUTICALS LTD,2
Zerostiff Total Capsule 10's,1303,2222,TORRENT PHARMACEUTICALS LTD,2
Zifi 200mg Tablet,332,2223,TORRENT PHARMACEUTICALS LTD,2
Ziglim M 1mg Strip Of 15 Tablets,231,2224,TORRENT PHARMACEUTICALS LTD,2
Ziglim M 2mg Tab 15's,1740,2225,TORRENT PHARMACEUTICALS LTD,2
Zilarbi 40 Strip Of 10 Tablets,918,2226,TORRENT PHARMACEUTICALS LTD,2
Zilarta 40mg Strip Of 10 Tablets,869,2227,TORRENT PHARMACEUTICALS LTD,2
Zilarbi 80mg Strip Of 10 Tablets,615,2228,TORRENT PHARMACEUTICALS LTD,2
Zilargyn Orange Flav Sf Sachet 10gm,1643,2229,TORRENT PHARMACEUTICALS LTD,2
Zilenta M Strip Of 10 Tablets,383,2230,TORRENT PHARMACEUTICALS LTD,2
Zilsar 40mg Strip Of 10 Tablets,1405,2231,TORRENT PHARMACEUTICALS LTD,2
Zilsar 80 Strip Of 10 Tablets,1800,2232,TORRENT PHARMACEUTICALS LTD,2
Zimig 250mg Tablet,1579,2233,TORRENT PHARMACEUTICALS LTD,2
Zincovit Bottle Of 15ml Drops,1872,2234,TORRENT PHARMACEUTICALS LTD,2
Zincovit Strip Of 15 Tablets (green),755,2235,TORRENT PHARMACEUTICALS LTD,2
Zincovit Bottle Of 200ml Syrup (green),1888,2236,TORRENT PHARMACEUTICALS LTD,2
Zinconia 50mg Tablet,1291,2237,TORRENT PHARMACEUTICALS LTD,2
Ziram 5mg Strip Of 10 Tablets,699,2238,TORRENT PHARMACEUTICALS LTD,2
Zita Plus 20mg Strip Of 15 Tablets,1038,2239,TORRENT PHARMACEUTICALS LTD,2
Zita Met Plus 20/500 Tab 15's,1042,2240,TORRENT PHARMACEUTICALS LTD,2
Zita Met Plus 20/1000 Tab 15's,495,2241,TORRENT PHARMACEUTICALS LTD,2
Zitcare Strip Of 30 Capsules,1119,2242,TORRENT PHARMACEUTICALS LTD,2
Ziten M 20/500mg Tab 15's,1442,2243,TORRENT PHARMACEUTICALS LTD,2
Ziten 20mg Strip Of 15 Tablets,200,2244,TORRENT PHARMACEUTICALS LTD,2
Ziten M 20/1000mg Tab 15's,740,2245,TORRENT PHARMACEUTICALS LTD,2
Zivast 10mg Strip Of 10 Tablets,1887,2246,TORRENT PHARMACEUTICALS LTD,2
Zivast 20mg Strip Of 10 Tablets,1211,2247,TORRENT PHARMACEUTICALS LTD,2
Zivast F Strip Of 10 Tablets,1408,2248,TORRENT PHARMACEUTICALS LTD,2
Zoamates 7gm,247,2249,TORRENT PHARMACEUTICALS LTD,2
Zocef 500mg Tablet,1059,2250,TORRENT PHARMACEUTICALS LTD,2
Zocef Cv 500mg Tablet,1436,2251,TORRENT PHARMACEUTICALS LTD,2
Zocon 1% Dusting Powder 100gm,122,2252,TORRENT PHARMACEUTICALS LTD,2
Zoderm E Tube Of 50gm Cream,1238,2253,TORRENT PHARMACEUTICALS LTD,2
Zoladex 3.6mg Inj,518,2254,TORRENT PHARMACEUTICALS LTD,2
Zoladex La 10.8mg Injection,389,2255,TORRENT PHARMACEUTICALS LTD,2
Zolahart 40 Strip Of 10 Tablets,237,2256,TORRENT PHARMACEUTICALS LTD,2
Zole F Oint,755,2257,TORRENT PHARMACEUTICALS LTD,2
Zolmist 5mg Nasal Spray 0.7ml,1209,2258,TORRENT PHARMACEUTICALS LTD,2
Zomelis 50mg Strip Of 15 Tablets,612,2259,TORRENT PHARMACEUTICALS LTD,2
Zomelis Met 50/1000mg Strip Of 15 Tablets,530,2260,TORRENT PHARMACEUTICALS LTD,2
Zomelis Met 50/500mg Strip Of 15 Tablets,1806,2261,TORRENT PHARMACEUTICALS LTD,2
Zonisep 100mg Capsule,307,2262,TORRENT PHARMACEUTICALS LTD,2
Zonegran 100mg Strip Of 10 Tablets,1685,2263,TORRENT PHARMACEUTICALS LTD,2
